24	219	Car Free Sundays	<ul><li>9th Ave SE in Inglewood will be shut down to traffic on the last 3 Sundays in August (Aug 14th, 21st and 28th).</li><li>Music Mile is looking to hire artists for "busking style" performances.</li><li>Performance slots are 90 minutes each. 2 sets with a small break in between.</li><li>A battery powered amplifier will be provided. Artists to provide all other equipment including mic and mic stand.</li><li>This opportunity is suitable for soloists and duos.</li><li>The fee is $250 and artists are welcome to accept tips.</li></ul>
4	197	Street Sound Sundays	<div>Musicians gain the opportunity to perform in 3 different locations in Downtown Somerville during the Sunday afternoons to bring vibrancy and light to the bustling atmosphere.</div><div><br></div><div>General / Background Info:</div><ul><li>These performances are unpaid (busking) but will be applicable to accept tips</li><li>Intended to be acoustic performances as we are still working on locking in our locations throughout the district. Once we lock in our destinations we will know about accommodating amplification and available power.</li><li>We are looking for buskers to apply to the program and different locations, specifically to avoid any double booking</li><li>We are looking for local musicians but open to performers from surrounding areas.</li><li>Note: Please choose "Other" when prompted for available dates. Dates will be available later. </li></ul>
48	233	Live & Local - East Village Activation	<div>Live and Local is a monthly outdoor winter concert series hosted on the C-Square Stage in Calgary's East Village. This program is suitable for solo, duo's and trios. A sound tech and PA are provided. Events will be weather dependent, a 3 sided tent will be provided but artists should be aware that performances will take place outdoors in Calgary's variable weather. There will be two performances by two different acts each day consisting of one 45 minute set, the first at 1pm, and the second at 2:15pm.</div>
2	1	Thursday night - Gravity in the Round  	<div><br></div><div><strong>Gravity in the Round (GITR):</strong> An evening of relaxed and unscripted music hosted by multiple local musicians who invite guests to join them to perform originals and covers. By applying to this program you are indicating your interest in participating but please be aware that hosts will choose their own guests based on a number of factors. Dates may vary so simply pick "Other" for dates and hosts will contact you as required to check availability.</div><div><br></div><div>Entry to the audience is free and a tip bucket will be provided.</div>
53	235	Open Mics at SunnyCider	<div>We are hosting open mics again at SunnyCider. These run from 4-8PM on Saturdays. We have powered speakers and a small mixer, one microphone and stand. We love to support local music and will pay you $75 + 20% of liquor sales during the event to encourage you to get people out.</div>
40	236	Fringe Coffee Thursday Events	<div>We are looking for local artists to perform in our coffee shop in the heart of Montgomery NW of Calgary, Alberta.</div><div>We would also love to host Blues, Jazz, Country, Soul, and Stand up Comedy.</div><div>Please contact us for more details about the offer.</div><div>Regards</div><div><strong>Fringe Coffee Team</strong></div>
57	44	YYC Christmas 2022	<div>The Airport will be hosting Christmas Music from Dec 12 - 24th</div>
49	221	DowntownVibe Phase II	<ul><li>Stagehand is working with the City of Calgary to populate spaces with live music.</li><li>Most of the stages will be "non-traditional music spaces".</li><li>Flexibility and adaptability will be an asset for the artist's chosen for the program.</li><li>Payment will vary, Generally $200 for a solo artist, $300 for a Duo, for an hour performance.</li><li>Two sets will be a higher pay.</li><li>Tipping by the audience will be allowed in most spaces.</li><li>Artist who exhibit professionalism and the ability to read the terms and conditions of the performance offer, will receive more opportunities.</li></ul>
25	231	Lot 6	<ul><li>Lot 6 is a public space for building and engaging with community, business and the arts. A vibrant space for Calgarians to enjoy for summer and fall, 2022. The CDA wishes to bring music to the space. Lot 6 is located on the west end of 311 8th St SW, and is open to the public as a communal gathering area.</li></ul><div><br></div><div>We are seeking:</div><ul><li>Emerging and seasoned artists. Varying music levels will be considered.</li><li>Diversity in genres and culture.</li><li>Performances will take place Saturdays between 3pm &amp; 8pm and Sundays between 1pm &amp; 6pm.</li><li>These will be paid performances, best suited for soloists and duo.</li><li>New artists that can perform a one hour set, emerging and established artists that can do two 35-40minute sets.</li><li>Artists that can perform material that is appropriate for all ages.</li><li>Original and cover music is acceptable.</li></ul><div><br></div><div>A stage with a PA will be provided.</div>
37	244	Autumn Activations	<div>Autumn Activations is intended to welcome people back to the downtown core.  As the pandemic starts to wain the City of Calgary is proactively programming public spaces to create a sense of welcome, comfort and safety. Autumn Activations will feature talented Calgary musicians performing in high traffic public spaces.  </div>
3	197	Summer Stage Concert Series 	<div>Our summer stage concert series features a variety of performers taking the stage on Division Street on Saturday evenings from 6:00pm - 9:00pm. Our concerts begin May 28 and take us through the summer until Labor Day.</div><div><br></div><div>Please note: the venue is outdoors so please plan accordingly.</div><div><br></div><div>General / Background info:</div><ul><li>We prefer full bands for performances</li><li>We are open to all genres as we love to diversify the programs for each week</li><li>We typically give preference to artists we have worked with, not necessarily local artists. Although we would love to be able to open up the stage to show off some Local Love!</li><li>Sound gear and a sound engineer are not provided please plan accordingly</li><li>As we prepare to create our schedule for the concert series, we ask that you please apply to specific dates (can be multiple). If we cannot accommodate you for one date we hope to be able to accommodate you for another.</li><li>Bands are paid $250 for performance</li></ul>
42	221	Calgary Public Library- Love Your Library Day	<ul><li>Looking for diverse solo/duo artists to add a musical component to "Love Your Library Day".</li><li>Performances will take place between 9am and 5pm at all 21 Calgary library locations.</li><li>Set will be 45 minutes in length.</li><li>Repertoire is up to the discretion of the artist. All content is to be "all ages" appropriate.</li><li>Artist must provide all equipment including their own PA. Alternatively they can perform acoustically.</li><li>Artists will be paid $200 per location.</li><li>There will be an opportunity for the same artist to perform at 2 separate locations on the day.</li></ul>
54	120	YEG Music Program	<div>YEG is proud to celebrate local artists performing post security at the Edmonton Airport.</div><div><br></div><div>This was a popular program prior to the pandemic, please read important details and updates regarding the Music Program below if you are interested in becoming a regular performer at Edmonton International Airport.</div><div><br></div><ul><li>We are looking for artists that are interested in performing on a regular basis (at least once a week).</li><li>There will be 4 Stages throughout the terminal with various performance times available during the day.</li><li>&nbsp;YEG does not have a budget to pay performers but artists are welcome to accept tips, sell CD’s and hand out business cards.&nbsp;Electronic tipping through Stagehand will also be available to all performers.</li><li>Starting in 2023, all performers are required to source a Blue Pass, which is a security pass to perform in the terminal through security (must be 18 years of age or older)</li><li class="ql-indent-1">YEG team will guide and assist you in this process if you become a selected performer. Note that a security screening is required to obtain a Blue Pass.&nbsp;Please note that it takes a few weeks to complete the process.</li><li>YEG will be selecting up to 20 regular performers to go through the Blue Pass process to become regular performers</li><li class="ql-indent-1">&nbsp;Upon review of your profile on Stagehand, we will let you know if you are one of the chosen performers to begin the process of gaining your Blue Pass</li><li class="ql-indent-1">Please note we do expect quite a bit of interest. If you are not selected as one of the regular performers for the first round, we will keep your information available for a waitlist option</li><li>PA is provided. A HK Polar 10 sound system is provided (artists must bring their own Mic and instruments).</li><li>All bookings will be managed through Stagehand (same as before COVID).</li><li>Parking is provided</li></ul><div>&nbsp;</div><div>If you are interested in applying to become a featured performer please ensure that you set up a Stagehand profile and select “APPLY NOW”.&nbsp;&nbsp;</div>
58	269	Mini Music Jamming	<div>Live mini concert performed by local artist who can sing both Chinese and English Songs. Welcome to bring your own musical instruments to perform.</div>
8	4	Busking Opportunities	<div>Busking is an important part of our city’s identity, culture and spirit. Buskers add delight, interest and energy to our community.&nbsp;</div><div><br></div><div>Cornerstone Music Cafe's Outdoor Stage provides an opportunity for buskers to showcase their art and for citizens to show their appreciation.</div><div><br></div><div>If you are a musician, singer, dancer, juggler, mime, poet, magician, comedian or other entertainer, this may be an opportunity for you. Whether you want sharpen your skills or just try out some new material, we'll provide the stage and you provide the entertainment.</div><div><br></div><div><strong>Event date and time:</strong>&nbsp;Busking performances performances take place on Tuesdays, Wednesdays &amp; Thursdays from 11:00-1:00pm. Fridays 2:00pm-4:00pm.</div><div><br></div><div><strong>Audience Admission:&nbsp;</strong>We do not charge admission to guests for performances. They will have an opportunity to tip you in person or online.</div><div><br></div><div><strong>Business terms:&nbsp;</strong>Performing for tips. Buskers will receive food/drink up to $15 (Make sure to set up the tipping option on your profile).</div><div><br></div><div><strong>Facility Details:&nbsp;</strong>Performances take place for our Brunch crowd on the Open Air Stage which is a seasonal summer patio in front of the Cafe. Performers can play acoustic or bring their own amplification. Please prepare for morning shade and afternoon sun. Electric outlet is available upon request. All performances must suitable for a general family audience.</div>
5	219	Live From Music Mile- East Village Headquarters	<ul><li>In 2021, Music Mile partnered with CMLC in East Village and programmed "Busking on the Mile".</li><li>This year East Village is please to partner again with Music Mile, at the East Village Headquarters (EVHQ).</li><li>Performances will take place where gold star is on the map found <a href="https://docs.google.com/document/d/12x9SCMIZ9_KqB3SAZ1SgDXhbPOCLu91r59nafs641FE/edit?usp=sharing" target="_blank">here</a>.</li><li>We are looking for a diverse group of artists to come busk in East Village by the EVHQ.</li><li>We are looking for acts that are suitable for all ages.</li><li>Artists choose their own repertoire and are free to play cover and/or originals.</li><li>We are mainly looking for solo and duo acts that play their own instruments. (exceptions apply)</li><li>Two 45 minute sets within the 2 hr time frame.</li><li>There is power at the site, a small amplifier/vocal mic/instrument is all that is required for PA</li><li>Artists are free to collect tips, sell merchandise from their case &amp; hand out business cards.</li><li>A QR code will allow the audience to tip electronically.</li><li><strong>A fee of $150.00 for the 2 sets is being offered.</strong></li></ul>
43	234	Saturday Night Music	<div>Entertaining our guests with Music from 6-8pm on the patio, lounge or restaurant.</div>
29	231	Musical Youth for Vibrant Streets & Lot 6	<div>The Calgary Downtown Association is interested in discovering the musically ambitious youth of the city. Please consider applying for this program if:</div><ul><li>You are under 21 years old.</li><li>You are seeking to develop your skills as a performing artist.</li><li>You can perform at least a 45 minute set with instrument(s) (using tracks is ok, in a limited capacity).</li><li>You are available to perform on a Friday, Saturday or Sunday in August 2022.</li></ul><div><br></div><div><br></div><div>These performances are paid + tips. Some are stage performances, others are "busking style" performances. PA is provided in both situations.</div>
6	221	DowntownVibe YYC Phase I	<div><strong>DowntownVibe YYC</strong> is about bringing vitality and performance energy into Calgary's downtown core. The aim is to create a welcoming place for people that live, work and play downtown. These will be "pop-up" type performances that may be happened upon often in unexpected locations. All performances are paid. Some will be paid + tips.</div><div><br></div><div>Most, if not all performances will be during the business week at peak times like lunchtime or during the rush hour.</div>
50	221	DowntownVibe- November & December 2022	<ul><li>The City of Calgary is once again looking for musical artists to add vitality to the downtown core.</li><li>We are looking for a diversity of genres as well as skill levels.</li><li>There is a preference for soloist and duo acts.</li><li>Most of the performances will be one hour in duration.</li><li>An extensive repertoire is preferred.</li><li>PA will be provided at some but not all locations</li><li>Most performances will be in indoor locations.</li><li>Many of the performances will take place during the work hours Monday to Friday, but not limited to that.</li><li>Some weekend performances will be available.</li><li>These performances will take place in “non traditional performance spaces”.</li><li>The fee for these performances will range from $200 for solo -$300 for duo + tips (when allowed).</li></ul>
55	120	YEG Christmas Music Program	<div>YEG is looking for holiday performers</div>
9	193	Chisel Creek Ranch Sessions	<div>The Prophets of Music Society presents a featured artist at Chisel Creek Ranch, just outside of Bragg Creek for an intimate evening of music in a breathtaking venue.</div><div><br></div><div><strong>About Chisel Creek Ranch:</strong></div><div><br></div><div>Chisel Creek Ranch's rustic timber frame concert venue is nestled among the flora and fauna at the edge of pristine riparian wetlands in the foothills of the Canadian Rockies.</div>
10	193	Quinterra Legacy Garden Thursday Night in the Park	<div>The Quinterra Legacy Garden will be Calgary’s first fully dedicated music garden and performance space. Music performances are sponsored by <a href="https://prophetsofmusic.org/" target="_blank">Prophets of Music</a> and <a href="https://www.oclstudios.com/" target="_blank">OCL Studios</a>  outdoors every Thursday night during our programming season. Artists perform a one-hour set looking out to the Glenmore Reservoir and beautiful South Glenmore Park to a receptive audience. </div>
16	219	Inglewood Night Market	<ul><li>In 2021, Music Mile partnered with CMLC in East Village and programmed "Busking on the Mile".</li><li>The Inglewood Night Market: June 10th, July 8th, August 12th, Sept 9th &amp; Sept 16th 2022</li><li>Performances will take place near the Music Mile kiosk.</li><li>We are seeking: a diverse group of artists to come busk, that are suitable for all ages.</li><li>Artists choose their own repertoire and are free to play cover and/or originals.</li><li>We are mainly looking for solo and duo music acts that play their own instruments. (exceptions apply)</li><li>45 minute sets.</li><li>There is power at the site PA is provided with 4 channel mixer</li><li><strong>Artists are free to collect tips</strong>, sell merchandise from their case &amp; hand out business cards.</li><li>A QR code will allow the audience to tip electronically.</li><li>A fee of $150.00 is being offered.</li></ul>
