,about,demographic,ispublic,coverphoto,stages,hiresphotos,medialinks,headline,preferredpronouns,diversitytagids,eventnumber,venuenumber,links,Artist_Score,Profile_Rating
00059e6c-ed37-42f2-a591-a2b02b04576e,1,1,5,2,1,0,1,1,0,0,0.0,0.0,5,17.0,3.0
002cb515-632d-4a8e-9b31-f1091805690f,1,0,5,2,0,1,1,1,0,0,0.0,0.0,5,16.0,3.0
00322d12-7309-4ebd-9d2e-fab64225b549,1,0,5,2,1,1,1,1,0,0,0.0,0.0,5,17.0,3.0
0033e475-0cfc-420c-86a3-c11f88928718,1,0,0,0,0,0,1,1,0,0,0.0,0.0,0,3.0,1.0
0069a3fc-0bfa-4100-bbb3-755410d49b01,1,0,5,2,1,0,1,1,0,0,0.0,0.0,1,12.0,2.0
007a9c9a-c598-48c5-84ed-cc464dd0b6b7,1,0,0,0,0,1,1,1,0,0,0.0,0.0,0,4.0,1.0
00865192-c4bc-4b68-8f06-4dd5afed8c7a,1,0,5,2,0,1,1,1,0,0,0.0,0.0,5,16.0,3.0
00d0b1bc-6af2-4adc-94e5-6d8d5d1e1318,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
00d0e950-59e6-4d60-a140-cf6166ef3e09,1,0,5,2,0,0,1,1,0,0,0.042134831460674156,0.2,5,15.242134831460673,3.0
00ecca5c-cfd7-4a73-9570-6028e5d560d7,1,1,5,2,1,1,1,1,1,1,0.042134831460674156,0.6,5,20.642134831460673,4.0
01086ae7-fac0-4cb7-b75e-3afed05d58e0,1,0,5,2,1,0,1,0,0,0,0.014044943820224719,0.2,2,12.214044943820223,2.0
0111dc0a-e681-4c7b-9378-995d376c552d,1,0,5,0,0,0,1,1,0,0,0.0,0.0,5,13.0,2.0
0126af85-9667-4f56-bf4b-356fbda542d1,1,1,5,2,1,0,1,1,0,0,0.09831460674157302,0.4,3,15.498314606741573,3.0
01293132-f27b-463b-89f8-ac3da27440ca,1,0,5,2,0,1,1,1,0,0,0.0,0.0,5,16.0,3.0
01693bc0-8330-4b46-bf93-03cfeecd05b6,1,1,5,2,1,1,1,1,0,1,5.0,4.4,5,28.4,5.0
017e616f-8445-4099-8574-1a49c8d146b5,1,0,5,2,0,1,1,1,0,0,0.0,0.0,5,16.0,3.0
0182900e-9d4a-4d06-ad5d-24aa6c4a7027,1,0,5,2,0,0,1,1,0,0,0.0,0.0,5,15.0,3.0
018f793b-07ef-4aa2-a1ef-270c9f5921ce,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
0190fc25-73da-4176-b797-328038576e52,1,0,5,2,1,0,1,0,0,0,0.0,0.0,2,12.0,2.0
01b33339-2be3-4675-8224-2ff65f96a755,0,0,5,0,0,0,1,1,0,1,0.0,0.0,0,8.0,1.0
01b8d308-29fd-43ff-ae01-5b7e4c63f5b1,1,1,5,2,1,1,1,1,0,0,0.0,0.0,5,18.0,3.0
01cdf29c-1f61-4ae6-bde0-96b7d52cf0ec,1,0,5,2,1,1,1,1,0,1,0.014044943820224719,0.0,4,17.014044943820224,3.0
01d1dadc-c28d-41af-a2c0-a04814587b95,1,1,5,2,1,1,1,1,0,1,0.0,0.0,5,19.0,3.0
